key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	با این اپ، غذاهایی را که دکتر گرِگِر در کتابِ پرفروشِ خود از نگاهِ نیویورک تایمز با نامِ «چگونه نمیریم»، و حالا در کتابِ جدیدش «چگونه رژیم نگیریم» توصیه کرده، ثبت و نظارت کنید.	Use language-applicable quotation marks for book titles.	
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	ویژگیِ «۲۱ ترفند»، که محتوای آن بر کتابِ «چگونه رژیم نگیریم» مبتنی است، همچنین دارای امکانی برای ردگیریِ وزن است. این امکان می‌تواند وزن‌هایی را که به‌صورتِ دستی در آن وارد می‌کنید، در اپِ HealthKitتان ذخیره کند و همچنین مطابق با مقیاس‌های فعال در اپِ HealthKitتان، اطلاعاتِ وزن‌های گذشتۀتان را بخواند.	Use language-applicable quotation marks for book titles.	
	apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	مایکل گرِگِر، پزشک و عضوِ کالجِ آمریکاییِ پزشکیِ مبتنی‌بر سبکِ زندگی، طیِ سال‌ها پژوهش که لازمۀ تولیدِ بیش از یک هزار ویدئوی مستند بر روی وبسایتش NutritionFacts.org بود، به فهرستی دست‌ یافته است که ازنظرِ او حاویِ مهمترین غذاها در رژیمِ غذاییِ سالمِ روزانه است.		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	اپِ «دوازده‌تای روزانۀ دکتر گرِگِر» سالم‌ترین موادِ غذایی و تعدادِ سهم‌هایی را که باید روزانه از هرکدام مصرف کنید، به‌طور دقیق نشان می‌دهد. دکتر گرِگِر منطقِ خود را در این رابطه در کتابش «چگونه نمیریم» توضیح داده است.	Use language-applicable quotation marks for book titles.	
	apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	تمامِ درآمدِ حاصل از کتاب‌ها، دی‌وی‌دی‌ها، و سخنرانی‌های ایشان به امورِ خیریه اهدا می‌شوند.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	وبسایتِ NutritionFacts.org یک خدمتِ عمومیِ غیرتجاری، غیرانتفاعی و مبتنی‌بر علم است که از طرفِ دکتر گرِگِر ارائه شده و هرروزه ویدئو‌های کوتاهِ رایگانی دربارۀ جدیدترین تحقیقاتِ انجام‌شده در حوزۀ تغذیه منتشر می‌کند. ایشان نزدیک به هزار ویدئو در‌رابطه‌با تمامِ جنبه‌های تغذیۀ سالم دارد، همراه با ویدئوها و مقالات تازه‌ای که هر روز بر روی وبسایت آپلود می‌شوند.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	همانندِ این اپ، هرآنچه که در وبسایت ارائه‌شده نیز رایگان و خالی از تبلیغات است.		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	انتخابِ زبانِ این اپ، از طریقِ Settings، نیازمند سیستم‌عاملِ iOS 13 یا جدیدتر است.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	قابلیتِ کاملاً جدیدِ اپِ «دوازده‌تای روزانه» را ببینید! این قابلیت، حاوی ۲۱ ترفند از کتابِ جدیدِ «چگونه رژیم نگیریم» است.	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
android_store_title	apple_store_title	Dr. Greger’s Daily Dozen	دوازده‌تای روزانۀ دکتر گرِگِر	Must be a maximum of 30 characters	
	apple_store_whatsnew	Adds language support for language_name_here.	اضافه شدنِ پشتیبانی از زبان فارسی	Replace language_name_here with the translated language name for this translation.	
android_store_whatsnew_analytics	apple_store_whatsnew_analytics	Adds anonymous opt-in analytics to support product improvement.	Adds anonymous opt-in analytics to support product improvement.	What's New Item	
	apple_store_whatsnew_darkmode	Adds support for Dark Mode.	Adds support for Dark Mode.	What's New Item	
	apple_store_whatsnew_export	Adds support to export history data.	Adds support to export history data.	What's New Item	
android_store_whatsnew_faq	apple_store_whatsnew_faq	Adds Frequently Asked Questions (FAQ)	Adds Frequently Asked Questions (FAQ)	What's New Item	
	apple_store_whatsnew_import	Adds support to import history data.	Adds support to import history data.	What's New Item	
android_store_whatsnew_improvement	apple_store_whatsnew_improvement	General software quality improvements.	General software quality improvements.	What's New Item	
