key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	Use language-applicable quotation marks for book titles.	
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	Use language-applicable quotation marks for book titles.	
	apple_store_description.2	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	Use language-applicable quotation marks for book titles.	
	apple_store_description.4	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	Like this app, everything on the website is both free of ads and free of charge.		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	Application level language selection, via Settings, requires iOS 13 or newer.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
android_store_title	apple_store_title	Dr. Greger’s Daily Dozen	Dr. Greger’s Daily Dozen	Must be a maximum of 30 characters	
	apple_store_whatsnew	Adds language support for language_name_here.	Adds language support for language_name_here.	Replace language_name_here with the translated language name for this translation.	
store_keywords	store_keywords	vegan, nutrition, food, vegetarian, health, healthy	vegan, nutrition, food, vegetarian, health, healthy		
store_screen.0	store_screen.0	Eat. Track. Repeat. No calorie counting or macro tracking required.	Eat. Track. Repeat. No calorie counting or macro tracking required.		
store_screen.1	store_screen.1	All for free!	All for free!		
store_screen.2	store_screen.2	Eat delicious meals that include Daily Dozen foods.	Eat delicious meals that include Daily Dozen foods.		
store_screen.3	store_screen.3	Track your daily servings in the app.	Track your daily servings in the app.		
store_screen.4	store_screen.4	Repeat until healthy eating becomes second nature.	Repeat until healthy eating becomes second nature.		
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen It’s your regular routine that determines your long-term health. Download today!	Dr. Greger’s Daily Dozen It’s your regular routine that determines your long-term health. Download today!		
android_store_description.0		Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book “How Not Die”—now including the 21 Tweaks from “How Not to Diet”—weight-loss accelerators to help maximize our natural fat-burning capabilities.	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book “How Not Die”—now including the 21 Tweaks from “How Not to Diet”—weight-loss accelerators to help maximize our natural fat-burning capabilities.	Use language-applicable quotation marks for book titles.	
android_store_description.1		All his proceeds from his books, DVDs, and speaking engagements is all donated to charity.	All his proceeds from his books, DVDs, and speaking engagements is all donated to charity.		
android_store_description.2		NutritionFacts.org is a non-commercial, nonprofit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org is a non-commercial, nonprofit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.		
android_store_whatsnew		Adds language support for language_name_here.	Adds language support for language_name_here.	Replace language_name_here with the translated language name for this translation.	
