key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple.store.description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, "How Not to Die", and now his new book, "How Not to Diet".	Behalten Sie den Überblick über die Lebensmittel, die Dr. Greger in seinem New York Times-Bestseller How Not to Die und jetzt auch in seinem neuen Buch How Not to Diet empfiehlt.		
	apple.store.description.1	The 21 Tweaks feature, based on "How Not to Diet", also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	Die Funktion 21 Optimierungen, die auf How Not to Diet basiert, bietet auch einen Gewichts-Tracker. Der Gewichtstracker kann HealthKit nutzen, um entweder manuell eingegebene Gewichtswerte zu speichern oder um Gewichtsdaten von HealthKit-fähigen Waagen zu lesen.		
	apple.store.description.2	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Michael Greger, M.D., FACLM, hat in jahrelanger Forschungsarbeit die mehr als tausend evidenzbasierten Videos auf seiner Website NutritionFacts.org erstellt und eine Liste der seiner Meinung nach wichtigsten Lebensmittel erstellt, die in eine gesunde tägliche Ernährung gehören.		
	apple.store.description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book "How Not to Die".	Dr. Gregers "Tägliches Dutzend" beschreibt die gesündesten Lebensmittel und die Anzahl der Portionen, die wir jeden Tag essen sollten. In seinem Buch How Not to Die erläutert er seine Überlegungen.		
	apple.store.description.4	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Alle Erlöse aus seinen Büchern, DVDs und Vorträgen werden für wohltätige Zwecke gespendet.		
	apple.store.description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org ist ein nichtkommerzieller, gemeinnütziger, wissenschaftsbasierter öffentlicher Dienst von Dr. Greger, der täglich kostenlos die neuesten Erkenntnisse der Ernährungsforschung in Form von mundgerechten Videos bereitstellt. Er hat fast tausend Videos zu allen Aspekten der gesunden Ernährung, und täglich werden neue Videos und Artikel hochgeladen.		
	apple.store.description.6	Like this app, everything on the website is both free of ads and free of charge.	Wie diese App ist auch alles auf der Website werbefrei und kostenlos.		
	apple.store.description.7	Application level language selection, via Settings, requires iOS 13 or newer.	Die Sprachauswahl auf Anwendungsebene über die Einstellungen erfordert iOS 13 oder neuer.		
	apple.store.promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, "How Not to Diet".	Entdecken Sie die brandneue Funktionalität des Täglichen Dutzend! Enthält 21 Optimierungen aus dem neuen Buch "How Not to Diet".		
	apple.store.subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
