key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple.store.description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, "How Not to Die", and now his new book, "How Not to Diet".	Acompanhe os alimentos recomendados pelo Dr. Greger no seu livro best-seller do New York Times, Como Não Morrer, e agora no seu novo livro, Como Não Fazer Dieta.		
	apple.store.description.1	The 21 Tweaks feature, based on "How Not to Diet", also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	A função 21 Truques, baseada no livro Como Não Fazer Dieta, também disponibiliza um rastreador de peso. O rastreador de peso pode usar o HealthKit para salvar valores de peso inseridos manualmente ou ler o peso das balanças habilitadas no HealthKit.		
	apple.store.description.2	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Nos anos de pesquisa necessários para criar os mais de mil vídeos baseados em evidências do seu site NutritionFacts.org, o Dr. Michael Greger chegou a uma lista dos alimentos que ele considera os mais importantes para incluir diariamente numa alimentação saudável.		
	apple.store.description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book "How Not to Die".	A Dúzia Diária do Dr. Greger detalha os alimentos mais saudáveis e quantas porções de cada um devemos tentar comer todos os dias. Ele explica os motivos no seu livro Como Não Morrer.		
	apple.store.description.4	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Todos os rendimentos dos seus livros, DVDs e palestras são doados para instituições de caridade.		
	apple.store.description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	O NutritionFacts.org é um serviço público não comercial, sem fins lucrativos e de base científica, fornecido pelo Dr. Greger, que fornece atualizações diárias gratuitas sobre as últimas novidades em pesquisa de nutrição por meio de pequenos vídeos. Ele tem aproximadamente mil vídeos sobre todos os aspectos de uma alimentação saudável, com novos vídeos e artigos disponibilizados todos os dias.		
	apple.store.description.6	Like this app, everything on the website is both free of ads and free of charge.	Assim como este aplicativo, tudo no site é livre de publicidade e também é gratuito.		
	apple.store.description.7	Application level language selection, via Settings, requires iOS 13 or newer.	A seleção de idioma no nível do aplicativo, por meio de Configurações, requer iOS 13 ou mais recente.		
	apple.store.promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, "How Not to Diet".	Confira a nova funcionalidade da Dúzia Diária! Inclui os 21 Truques do novo livro, Como Não Fazer Dieta.		
	apple.store.subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
android.store.title	apple.store.title	Dr. Greger’s Daily Dozen	Dúzia Diária do Dr. Greger	Must be a maximum of 30 characters	
	apple.store.whatsnew	Adds language support for language_name_here.	Adiciona suporte do idioma Português (Portugal).	Replace language_name_here with the translated language name for this translation.	
store.keywords	store.keywords	vegan, nutrition, food, vegetarian, health, healthy	vegano, nutrição, alimentos, vegetariano, saúde, saudável		
store.screen.0	store.screen.0	Eat. Track. Repeat. No calorie counting or macro tracking required.	Comer. Rastrear. Repetir. Sem necessidade de contagem de calorias ou rastreamento de macronutrientes.		
store.screen.1	store.screen.1	All for free!	Tudo gratuito!		
store.screen.2	store.screen.2	Eat delicious meals that include Daily Dozen foods.	Coma refeições deliciosas que incluem os alimentos da Dúzia Diária.		
store.screen.3	store.screen.3	Track your daily servings in the app.	Acompanhe as suas porções diárias no aplicativo.		
store.screen.4	store.screen.4	Repeat until healthy eating becomes second nature.	Repita até que a alimentação saudável se torne um hábito instintivo.		
store.screen.5	store.screen.5	Dr. Greger’s Daily Dozen It’s your regular routine that determines your long-term health. Download today!	Dúzia Diária do Dr. Greger - É a sua rotina diária que determina a sua saúde a longo prazo. Baixe hoje!		
android.store.description.0		Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book "How Not Die"—now including the 21 Tweaks from "How Not to Diet"—weight-loss accelerators to help maximize our natural fat-burning capabilities.	A Dúzia Diária do Dr. Greger detalha os alimentos mais saudáveis e quantas porções de cada um devemos tentar comer todos os dias baseado no seu livro Como Não Morrer — agora incluindo os 21 Truques do seu livro Como Não Fazer Dieta — aceleradores de perda de peso para ajudar a maximizar a nossa capacidade natural de queimar gordura.		
android.store.description.1		All his proceeds from his books, DVDs, and speaking engagements is all donated to charity.	Todos os rendimentos dos seus livros, DVDs e palestras são doados a instituições de caridade.		
android.store.description.2		NutritionFacts.org is a non-commercial, nonprofit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	O NutritionFacts.org é um serviço público não comercial, sem fins lucrativos e de base científica, fornecido pelo Dr. Greger, que fornece atualizações diárias gratuitas sobre as últimas novidades em pesquisa de nutrição por meio de pequenos vídeos. Ele tem aproximadamente mil vídeos sobre todos os aspectos de uma alimentação saudável, com novos vídeos e artigos disponibilizados todos os dias. Assim como este aplicativo, tudo no site é livre de publicidade e gratuito.		
android.store.whatsnew		Adds language support for language_name_here.	Adiciona suporte do idioma Português (Portugal).	Replace language_name_here with the translated language name for this translation.	
