key_droid	key_apple	base_value	lang_value	base_note	lang_note
	history_data_alert_cancel	Cancel	Отмена	History Data Alert: Cancel button	
	history_data_alert_clear	Clear	Стереть	History Data Alert: Clear button	Erase
	history_data_alert_import	Import	Импортировать	History Data Alert: Import buttom	
	history_data_alert_ok	OK	ХОРОШО	History Data Alert: OK button	Fine
	history_data_export_btn	Export History Data	Экспорт данных истории	History Data: export action button	Export history data
	history_data_export_text	Export has been written to:	Экспорт был написан в:	History Data: export description text	The export was written in:
	history_data_import_btn	Import History Data	Импорт данных истории	History Data: import action button	Import history data
	history_data_import_caution_text	Caution: This import will overwrite all history data currently in this Daily Dozen application. Would you like to proceed with the import?	Внимание: этот импорт перезапишет все данные истории, которые в настоящее время находятся в этом приложении Daily Dozen. Хотите продолжить импорт?	History Data: import caution text	Warning: This import will overwrite any history data currently in this Daily Dozen app. Do you want to continue importing?
	history_data_import_error_text	Error: The import was not performed because of a data error. The existing data has remained unchanged.	Ошибка: Импорт не выполнен из-за ошибки данных. Существующие данные остались без изменений.	History Data: import data error text	Error: Import failed due to data error. The existing data remains unchanged.
	history_data_import_notfound_text	Did not find a valid import file in the Daily Dozen Documents folder.	Не удалось найти допустимый файл импорта в папке Daily Dozen Documents.	History Data: import not found text	Could not find a valid import file in the Daily Dozen Documents folder.
	history_data_title	History	Исторические данные	History Data: preferences header & title	Historical Data
