key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	Śledź jaką żywność zaleca dr Greger w swojej bestsellerowej książce New York Times „Jak nie umrzeć przedwcześnie” , a teraz także w swojej nowej książce „How Not to Diet”.	Use language-applicable quotation marks for book titles.	
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	Funkcja 21 Adaptacji, oparta na „How Not to Diet”, zapewnia również monitor wagi. Monitor może używać aplikacji HealthKit tak do zapisu ręcznie wprowadzonych wartości, jak również do odczytywania danych dotyczących wagi z wag obsługujących aplikację HealthKit.	Use language-applicable quotation marks for book titles.	
	apple_store_description.2	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Podczas lat badań potrzebnych do stworzenia ponad tysiąca, popartych dowodami, nagrań wideo na swoją stronę NutritionFacts.org, Michael Greger (lekarz, współzałożyciel i członek honorowy American College of Lifestyle Medicine) opracował listę tego, co uważa za najważniejsze produkty spożywcze, które należy uwzględnić w zdrowej codziennej diecie.		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	Codzienny Tuzin dr. Gregera szczegółowo opisuje najzdrowsze pokarmy i ile porcji każdego z nich powinniśmy spożywać każdego dnia. Swoje uzasadnienie przedstawia w swojej książce „Jak nie umrzeć przedwcześnie”.	Use language-applicable quotation marks for book titles.	
	apple_store_description.4	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Cały dochód ze sprzedaży jego książek, płyt DVD i wystąpień jest przekazywany na cele charytatywne.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org to niekomercyjna, non-profit usługa publiczna, oparta na nauce i świadczona przez dr. Gregera. Zapewnia codzienne bezpłatne aktualizacje na temat najnowszych badań żywieniowych w formie krótkich filmów. Dr Greger ma prawie tysiąc nagrań na temat każdego aspektu zdrowego odżywiania, a każdego dnia przesyłane są nowe filmy i artykuły.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	Podobnie jak w przypadku tej aplikacji, wszystko na stronie jest wolne od reklam i bezpłatne.		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	Wybór języka z poziomu aplikacji, w „Ustawieniach”, wymaga systemu iOS 13 lub nowszego.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	Sprawdź zupełnie nową funkcjonalność Codziennego Tuzina! Zawiera 21 Adaptacji z nowej książki „How Not to Diet”.	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
