key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	Tieni traccia degli alimenti che il dottor Greger raccomanda nel suo bestseller “Sei quel che mangi” e nel suo nuovo libro “Contro le diete”.	Use language-applicable quotation marks for book titles.	In my opinion, “del New York Times” can be omitted, both for readability and space saving. It does not add valuable information and takes up space. 
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	La funzionalità Ventuno mosse, che si basa sul libro “Contro le diete”, consente anche il monitoraggio del peso. HealthKit può memorizzare il peso inserito manualmente o leggere il peso direttamente dalla bilancia abilitata nella app.	Use language-applicable quotation marks for book titles.	1) Translation of “How Not to Diet” https://search.schlowlibrary.org/Record/384296/TOC  https://www.macrolibrarsi.it/libri/__sei-quel-che-mangi-libro.php#indice   2) Here it looks like 21 Tweaks it has been translated with 21 Mosse https://www.macrolibrarsi.it/libri/__contro-le-diete.php#indice  Another possible translation for 21 Tweaks could be 21 Trucchi (however I would stick to the previous one): https://www.tummytox.it/news/tecniche-dimagranti-dr-greger  3) HealthKit/Google Fit  HealthKit seems to be the tracking app for iOS, “Salute” in Italian. https://www.apple.com/it/ios/health/  For Android the equivalent seems to be GoogleFit, untranslated. https://google-fit.it.uptodown.com/android
	apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Micheal Greger, medico membro dell'American College of Lifestyle Medicine, dopo anni di ricerca necessari per creare gli oltre duemila video basati su prove scientifiche, disponibili sul sito NutritionFacts.org, ha stilato una lista di quelli che considera gli alimenti più importanti da includere in una sana dieta giornaliera.		FACLM:         Fellow of the American College of Lifestyle Medicine  M.D. doctor of medicine  In my opinion, “membro della American College of Lifestyle Medicine” can be omitted if space saving is needed. If the information is reputed necessary  for highlighting the qualifications of dr Greger , it could be added at a different point in the app.
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	La Daily Dozen del dottor Greger spiega in dettaglio quali sono gli alimenti più sani e la quantità ideale di ciascuno da includere ogni giorno nella dieta. Greger ne spiega le ragioni nel libro “Sei quel che mangi”.	Use language-applicable quotation marks for book titles.	The translation “Magnifici dodici” seems to be the official one (update 24/04/2023):  https://www.macrolibrarsi.it/libri/__sei-quel-che-mangi-libro.php#indice   Dozzina quotidiana is also used, but I don't  think it's official: https://gentilezzasostenibile.com/alimentazione/cibi-da-mangiare-ogni-giorno/  https://crudoesalute.com/i-12-cibi-del-dr-greger-versione-semplificata/  https://unveganoamilano.altervista.org/lunico-cibo-che-vorrei-aggiungere-alla-dozzina-quotidiana/
	apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Tutto il ricavato ottenuto delle vendite dei suoi libri, DVD e interventi pubblici sono interamente devoluti in beneficenza.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org è un servizio pubblico su base scientifica, non commerciale e senza scopo di lucro, offerto dal dottor Greger, che propone quotidiani aggiornamenti gratuiti sulle più recenti scoperte in materia di nutrizione con brevi video. Ne ha prodotto più di duemila, toccando tutti gli aspetti di un’alimentazione sana, ogni volta con nuovi contenuti video e articoli.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	Tutto quello che trovate nel sito, così come questa app, è gratuito e non contiene pubblicità.		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	Per selezionare la lingua dalle Impostazioni dell'applicazione è necessario iOS 13 o versioni successive.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	Scopri le nuove funzioni della Daily Dozen! Include Ventuno mosse dal nuovo libro “Contro le diete”.	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
