key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	记录格雷格医生在他的纽约时报畅销书《救命》中推荐的食物，以及他的新书《吃饱瘦身》中的建议。	Use language-applicable quotation marks for book titles.	
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	《吃饱瘦身》中的21妙方功能还包括了一个体重追踪器。这个体重追踪器可以使用“健康”来保存手动输入的体重数值，或从支持“健康”的体重秤读取体重数据。	Use language-applicable quotation marks for book titles.	
	apple_store_description.2	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	在为他的网站NutritionFacts.org创建超过一千个基於实证的视频所需的多年研究中，格雷格医生得出了他认为在健康日常饮食中应包含的最重要食物的清单。		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	格雷格医生的“每日12清单”详细介绍了最健康的食物，以及我们每天应该努力摄取的每种食物的份量。他在他的着作《救命》中解释了其理由。	Use language-applicable quotation marks for book titles.	
	apple_store_description.4	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.	他的所有书籍、DVD和演讲的收益都捐赠给了慈善机构。		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org是由格雷格医生提供的非商业性、非营利性、基於科学的公共服务。该网站每天提供最新营养研究的免费更新，内容通过简短的视频呈现。网站上有上千个关於健康饮食各个方面的视频，并且每天都有新的视频和文章上传。		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	与此应用程序一样，该网站上的所有内容都不含广告且免费。		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	应用程序级别的语言选择在“设定”中，需要 iOS 13或更新版本。		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	查看“每日12清单”全新功能！包括来自新书《吃饱瘦身》的 21 妙方。	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
android_store_title	apple_store_title	Dr. Greger’s Daily Dozen	格雷格医生的每日12清单	Must be a maximum of 30 characters	
	apple_store_whatsnew	Adds language support for language_name_here.	新增对简体中文的语言支持。	Replace language_name_here with the translated language name for this translation.	
android_store_whatsnew_analytics	apple_store_whatsnew_analytics	Adds anonymous opt-in analytics to support product improvement.	添加匿名选择加入分析以支持产品改进。	What's New Item	
	apple_store_whatsnew_darkmode	Adds support for Dark Mode.	添加对深色模式的支持。	What's New Item	
	apple_store_whatsnew_export	Adds support to export history data.	添加对导出历史数据的支持。	What's New Item	
android_store_whatsnew_faq	apple_store_whatsnew_faq	Adds Frequently Asked Questions (FAQ)	添加常见问题	What's New Item	Add Frequently Asked Questions (FAQ)
	apple_store_whatsnew_import	Adds support to import history data.	添加对导入历史数据的支持。	What's New Item	
android_store_whatsnew_improvement	apple_store_whatsnew_improvement	General software quality improvements.	一般软件品质改善。	What's New Item	
store_keywords	store_keywords	vegan, nutrition, food, vegetarian, health, healthy	纯素食、营养、食物、蛋奶素、健康、健康饮食		
store_screen.0	store_screen.0	Eat. Track. Repeat. No calorie counting or macro tracking required.	食用。记录。重复。无需计算卡路里或追踪营养素。		
store_screen.1	store_screen.1	All for free!	完全免费！		
store_screen.2	store_screen.2	Eat delicious meals that include Daily Dozen foods.	享用包含每日12清单的美味餐点。		
store_screen.3	store_screen.3	Track your daily servings in the app.	在应用程式中追踪您每天的份量。		
store_screen.4	store_screen.4	Repeat until healthy eating becomes second nature.	重复进行，直到健康饮食成为第二天性。		
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen It’s your regular routine that determines your long-term health. Download today!	“格雷格医生的每日12清单”是您的日常习惯决定了您的长期健康。今天就下载吧！		
android_store_description.0		Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book “How Not Die”—now including the 21 Tweaks from “How Not to Diet”—weight-loss accelerators to help maximize our natural fat-burning capabilities.	格雷格医生的“每日12清单”详细列出了健康食品及其每天应试图摄入的份量，这些内容源於他的着作《救命》。现在还包括了来自《吃饱瘦身》的21妙方——这是一些加速减重的方法，旨在帮助最大化我们自然的脂肪燃烧能力。	Use language-applicable quotation marks for book titles.	
android_store_description.1		All his proceeds from his books, DVDs, and speaking engagements is all donated to charity.	他的所有书籍、DVD和演讲的收益都捐赠给了慈善机构。		
android_store_description.2		NutritionFacts.org is a non-commercial, nonprofit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org是由格雷格医生提供的非商业性、非营利性、基於科学的公共服务。该网站每天提供最新营养研究的免费更新，内容通过简短的视频呈现。网站上有上千个关於健康饮食各个方面的视频，并且每天都有新的视频和文章上传。与此应用程序一样，该网站上的所有内容都不含广告且免费。		
android_store_whatsnew		Adds language support for language_name_here.	新增对简体中文的语言支持。	Replace language_name_here with the translated language name for this translation.	
