key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	Cette app vous aide à faire le suivi des aliments recommandés par Dr Greger dans son best-seller du New York Times “Comment ne pas mourir” et son nouveau livre “Comment ne pas faire de régime”.	Use language-applicable quotation marks for book titles.	
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	La fonctionnalité 21 Astuces, basée sur le livre “Comment ne pas faire de régime”, donne aussi la possibilité de faire un suivi de son poids. Le suivi de poids peut utiliser votre App Santé pour soit sauvegarder des données de poids entrées individuellement soit lire les données de poids d'une balance connectée à l’App Santé.	Use language-applicable quotation marks for book titles.	
	apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Le Dr Greger, membre de l'ACLM (American College of Lifestyle Medicine), a passé des années à faire les recherches nécessaires à la création des plus de deux mille vidéos disponibles sur son site NutritionFacts.org. C’est ainsi qu’il a pu établir une liste des aliments les plus importants à inclure quotidiennement dans une alimentation saine.		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	Avec Daily Dozen, le DR Greger nous indique les aliments les plus sains que nous devrions essayer de manger chaque jour et en quelle quantité. Il explique comment il en est arrivé à cette liste dans son livre “Comment ne pas mourir”.	Use language-applicable quotation marks for book titles.	
	apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Tous les fonds recueillis à travers ses livres, DVDs et conférences sont reversés à des associations caritatives.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org est une organisation à but non lucratif qui, grâce aux courtes vidéos gratuites du Dr Greger, offre des informations mises à jour quotidiennement sur la recherche scientifique en nutrition. Il y a plus de deux mille vidéos disponibles sur tous les aspects d’une alimentation saine, et de nouvelles informations sont ajoutées tous les jours.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	Comme cette app, tout sur notre site internet est gratuit et sans publicité.		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	Le choix de langue à l’intérieur de l’application est disponible dans les Réglages uniquement avec une version iOS 13 ou plus récente.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	Essayez la toute nouvelle fonctionnalité Daily Dozen ! Les 21 Astuces du nouveau livre “Comment ne pas faire de régime” sont désormais dans l'app.	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
android_store_title	apple_store_title	Dr. Greger’s Daily Dozen	Daily Dozen de Dr Greger	Must be a maximum of 30 characters	The app is called Daily Dozen throughout in French too so I prefer to keep as is for consistency
	apple_store_whatsnew	Adds language support for language_name_here.	Ajoute la prise en charge du français.	Replace language_name_here with the translated language name for this translation.	
android_store_whatsnew_analytics	apple_store_whatsnew_analytics	Adds anonymous opt-in analytics to support product improvement.	Ajoute l’option de collecte d'informations anonymisées pour aider à améliorer l’application.	What's New Item	
	apple_store_whatsnew_darkmode	Adds support for Dark Mode.	Ajoute la prise en charge en Thème sombre.	What's New Item	
	apple_store_whatsnew_export	Adds support to export history data.	Ajoute la prise en charge de l’export de l’historique.	What's New Item	
android_store_whatsnew_faq	apple_store_whatsnew_faq	Adds Frequently Asked Questions (FAQ)	Ajoute une Foire Aux Question (FAQ).	What's New Item	
	apple_store_whatsnew_import	Adds support to import history data.	Ajoute la prise en charge de l’import de l’historique.	What's New Item	
android_store_whatsnew_improvement	apple_store_whatsnew_improvement	General software quality improvements.	Amélioration générale de la qualité du logiciel.	What's New Item	
store_keywords	store_keywords	vegan, nutrition, food, vegetarian, health, healthy	vegan, végétalien, nutrition, alimentation, végétarien, santé, sain, saine		
store_screen.0	store_screen.0	Eat. Track. Repeat. No calorie counting or macro tracking required.	Mangez. Faites le suivi. Répétez. Pas besoin de compter les calories ou les macronutriments.		
store_screen.1	store_screen.1	All for free!	Complètement gratuit !		
store_screen.2	store_screen.2	Eat delicious meals that include Daily Dozen foods.	Mangez de délicieux repas intégrant les aliments Daily Dozen.		
store_screen.3	store_screen.3	Track your daily servings in the app.	Faites le suivi de vos portions quotidiennes dans l’app.		
store_screen.4	store_screen.4	Repeat until healthy eating becomes second nature.	Répétez jusqu’a ce que manger sainement soit automatique.		
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	Daily Dozen de Dr Greger : Vos habitudes aujourd'hui déterminent votre santé de demain. Téléchargez l'appli dès maintenant !		
android_store_description.0		Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book “How Not Die”—now including the 21 Tweaks from “How Not to Diet”—weight-loss accelerators to help maximize our natural fat-burning capabilities.	Avec Daily Dozen, le DR Greger nous indique les aliments les plus sains que nous devrions essayer de manger chaque jour et en quelle quantité, comme expliqué dans son livre “Comment ne pas mourir”. Et maintenant l'app comprend les 21 Astuces de son livre “Comment ne pas faire de régime” : des accélérateurs de perte de poids pour nous aider à maximiser les capacités brûle-graisses naturelles de notre corps.	Use language-applicable quotation marks for book titles.	
