key_droid	key_apple	base_value	lang_value	base_note	lang_note
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	⅓ cup tofu or tempeh	⅓ φλιτζάνι τόφου ή τέμπε		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or sprouted lentils	1 φλιτζάνι φρέσκα μπιζέλια ή φυτρωμένες φακές		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	70 g hummus or bean dip	70 γρ χούμους ή ντιπ φασολιών		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	100 g cooked beans, split peas, or lentils	100 γρ μαγειρεμένα φασόλια, σπασμένα μπιζέλια ή φακές		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	80 g tofu or tempeh	80 γρ τόφου ή τέμπε		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	100 g fresh peas or sprouted lentils	100 γρ φρέσκα μπιζέλια ή φυτρωμένες φακές		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	70 g fresh or frozen	70 γρ φρέσκα ή κατεψυγμένα		
food_info_serving_sizes_other_fruits_metric.1	dozeFruitsOther.Serving.metric.1	150 g cut-up fruit	150 γρ κομμένα φρούτα		
food_info_serving_sizes_cruciferous_vegetables_imperial.0	dozeVegetablesCruciferous.Serving.imperial.0	½ cup cooked leafy vegetables	½ φλιτζάνι μαγειρεμένα φυλλώδη λαχανικά		
food_info_serving_sizes_cruciferous_vegetables_imperial.1	dozeVegetablesCruciferous.Serving.imperial.1	½ cup raw or cooked non-leafy vegetables	½ φλιτζάνι ωμά ή μαγειρεμένα μη φυλλώδη λαχανικά		
food_info_serving_sizes_cruciferous_vegetables_imperial.2	dozeVegetablesCruciferous.Serving.imperial.2	1 cup raw leafy vegetables	1 φλιτζάνι ωμά φυλλώδη λαχανικά		
food_info_serving_sizes_cruciferous_vegetables_imperial.3	dozeVegetablesCruciferous.Serving.imperial.3	¼ cup broccoli sprouts	¼ φλιτζάνι βλαστοί μπρόκολου		
food_info_serving_sizes_cruciferous_vegetables_imperial.4	dozeVegetablesCruciferous.Serving.imperial.4	1 tablespoon horseradish	1 κουταλιά της σούπας χρένο		
food_info_serving_sizes_cruciferous_vegetables_metric.0	dozeVegetablesCruciferous.Serving.metric.0	90 g cooked leafy vegetables	90 γρ μαγειρεμένα φυλλώδη λαχανικά		
food_info_serving_sizes_cruciferous_vegetables_metric.1	dozeVegetablesCruciferous.Serving.metric.1	60 g raw or cooked non-leafy vegetables	60 γρ ωμά ή μαγειρεμένα μη φυλλώδη λαχανικά		
food_info_serving_sizes_cruciferous_vegetables_metric.2	dozeVegetablesCruciferous.Serving.metric.2	90 g raw leafy vegetables	90 γρ ωμά φυλλώδη λαχανικά		
food_info_serving_sizes_cruciferous_vegetables_metric.3	dozeVegetablesCruciferous.Serving.metric.3	20 g broccoli sprouts	20 γρ βλαστοί μπρόκολου		
food_info_serving_sizes_cruciferous_vegetables_metric.4	dozeVegetablesCruciferous.Serving.metric.4	1 tablespoon horseradish	1 κουταλιά της σούπας χρένο		
food_info_serving_sizes_other_vegetables_metric.1	dozeVegetablesOther.Serving.metric.1	90 g raw or cooked nonleafy vegetables	90 γρ ωμά ή μαγειρεμένα μη φυλλώδη λαχανικά		
food_info_serving_sizes_other_vegetables_metric.2	dozeVegetablesOther.Serving.metric.2	120 ml vegetable juice	120 ml χυμός λαχανικών		
food_info_serving_sizes_other_vegetables_metric.3	dozeVegetablesOther.Serving.metric.3	10 g dried mushrooms	10 γρ αποξηραμένα μανιτάρια		
food_info_serving_sizes_whole_grains_imperial.0	dozeWholeGrains.Serving.imperial.0	½ cup cooked whole grains, whole-wheat pasta, or corn kernels	½ φλιτζάνι μαγειρεμένοι ολόκληροι σπόροι, ζυμαρικά ολικής αλέσεως ή κόκκοι καλαμποκιού		
food_info_serving_sizes_whole_grains_imperial.1	dozeWholeGrains.Serving.imperial.1	1 cup 100% whole grain cold cereal	1 φλιτζάνι 100% δημητριακά ολικής αλέσεως κρύα		
food_info_serving_sizes_whole_grains_imperial.2	dozeWholeGrains.Serving.imperial.2	1 100% whole grain tortilla (or 2 smaller corn tortillas)	1 100% τορτίγια ολικής αλέσεως (ή 2 μικρότερες τορτίγιες καλαμποκιού)		
food_info_serving_sizes_whole_grains_imperial.3	dozeWholeGrains.Serving.imperial.3	1 slice of 100% whole grain bread	1 φέτα 100% ψωμί ολικής αλέσεως		
food_info_serving_sizes_whole_grains_imperial.4	dozeWholeGrains.Serving.imperial.4	½ bagel or English muffin	½ μπέιγκελ ή αγγλικό μάφιν		
food_info_serving_sizes_whole_grains_imperial.5	dozeWholeGrains.Serving.imperial.5	3 cups popped popcorn	3 φλιτζάνια ποπ κορν		
food_info_serving_sizes_whole_grains_metric.0	dozeWholeGrains.Serving.metric.0	100 g cooked whole grains, whole-wheat pasta, or corn kernels	100 γρ μαγειρεμένοι ολόκληροι σπόροι, ζυμαρικά ολικής αλέσεως ή κόκκοι καλαμποκιού		
food_info_serving_sizes_whole_grains_metric.1	dozeWholeGrains.Serving.metric.1	50 g 100% whole grain cold cereal	50 γρ 100% δημητριακά ολικής αλέσεως κρύα		
food_info_serving_sizes_whole_grains_metric.2	dozeWholeGrains.Serving.metric.2	1 100% whole grain tortilla (or 2 smaller corn tortillas)	1 100% τορτίγια ολικής αλέσεως (ή 2 μικρότερες τορτίγιες καλαμποκιού)		
food_info_serving_sizes_whole_grains_metric.3	dozeWholeGrains.Serving.metric.3	1 slice of 100% whole grain bread	1 φέτα 100% ψωμί ολικής αλέσεως		
food_info_serving_sizes_whole_grains_metric.4	dozeWholeGrains.Serving.metric.4	½ bagel or English muffin	½ μπέιγκελ ή αγγλικό μάφιν		
food_info_serving_sizes_whole_grains_metric.5	dozeWholeGrains.Serving.metric.5	30 g popped popcorn	30 γρ ποπ κορν		
