key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	Проследявайте храните, препоръчани от д-р Грегър в неговата бестселър книга на New York Times „Можем да сме здрави“, а сега и новата му книга „Как да не спазваме диета“.	Use language-applicable quotation marks for book titles.	
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	21 Tweaks, базирана на „Как да не спазваме диети“, също предоставя инструмент за проследяване на теглото. Инструментът за проследяване на теглото може да използва HealthKit или за запазване на ръчно въведени стойности на теглото, или за четене на данни за теглото от везни с активиран HealthKit.	Use language-applicable quotation marks for book titles.	
	apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	В годините на изследвания, необходими за създаването на повече от хиляда базирани на доказателства видеоклипове на неговия уебсайт NutritionFacts.org, Майкъл Грегър, доктор по медицина, FACLM, стигна до списък с това, което смята за най-важните храни, които да включи в здравословния си ежедневен прием диета.		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	Daily Dozen на д-р Грегър подробно описва най-здравословните храни и колко порции от всяка трябва да опитаме да отмятаме всеки ден. Той обяснява обосновката си в книгата си „Можем да сме здрави“.	Use language-applicable quotation marks for book titles.	
	apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Всичките му приходи от неговите книги, DVD дискове и участия са дарени за благотворителност.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org е обществена услуга с некомерсиална цел с нестопанска цел, основана на науката, предоставяна от д-р Грегър, предоставяща безплатни ежедневни актуализации за най-новите изследвания в областта на храненето чрез кратки видеоклипове. Той има почти хиляда видеоклипа за всеки аспект на здравословното хранене, като всеки ден се качват нови видеоклипове и статии.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	Подобно на това приложение, всичко на уебсайта е както без реклами, така и безплатно.		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	Изборът на език на ниво приложение чрез Настройки изисква iOS 13 или по-нова.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	Вижте чисто новата функционалност на Daily Dozen! Включва 21 Tweaks от новата книга „Как да не спазваме диета“.	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
android_store_title	apple_store_title	Dr. Greger’s Daily Dozen	Daily Dozen на д-р Грегър	Must be a maximum of 30 characters	
	apple_store_whatsnew	Adds language support for language_name_here.	Добавя езикова поддръжка за български език.	Replace language_name_here with the translated language name for this translation.	
android_store_whatsnew_analytics	apple_store_whatsnew_analytics	Adds anonymous opt-in analytics to support product improvement.	Добавя анонимни анализи за включване в подкрепа на подобряването на продукта.	What's New Item	
	apple_store_whatsnew_darkmode	Adds support for Dark Mode.	Добавя поддръжка за тъмен режим.	What's New Item	
	apple_store_whatsnew_export	Adds support to export history data.	Добавя поддръжка за експортиране на данни от историята.	What's New Item	
android_store_whatsnew_faq	apple_store_whatsnew_faq	Adds Frequently Asked Questions (FAQ)	Добавя често задавани въпроси (FAQ)	What's New Item	
