key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	Monitorizați alimentele recomandate de Dr. Greger în bestellerul New York Times „Cum să nu mori” și acum în noua sa carte, „Cum să nu ții o dietă”.	Use language-applicable quotation marks for book titles.	
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	Funcționalitatea 21 de Trucuri, bazată pe „Cum să nu ții o dietă”, oferă și un tracker al greutății. Acesta poate utiliza HealthKit fie pentru a înregistra valorile greutății introduse manual, fie pentru a citi datele furnizate de cântarele compatibile cu HealthKit. 	Use language-applicable quotation marks for book titles.	I've left the word „tracker” in English, as there is now Romanian corespondent in a technical context, and most users should be familiar with the word. (like translating CD-writer - no one says „scriitor de CD-uri”)
	apple_store_description.2	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	În anii de cercetare necesari pentru a crea cele peste o mie de videoclipuri bazate pe dovezi de pe site-ul său NutritionFacts.org, Dr. Michael Greger a ajuns la o listă cu ceea ce el consideră a fi cele mai importante alimente ce trebuiesc incluse într-o dietă zilnică sănătoasă.		There is no correspondent in Romanian for FACLM, however for MD there is the abbreviation Dr. (from Doctor) and it is used before the name. So we either just use the existent one, or we add both but in English - so we leave M.D., FACLM. Or we translate FACLM abbreviation which in Romanian would be ACAMSV. We would need Dr. Greger's approval to use any of these versions. 
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	Cele 12 Alimente Zilnice recomandate de Dr. Greger detaliază cele mai sănătoase alimente și numărul de porții din fiecare aliment pe care ar trebui să încercăm să le consumăm zilnic. Dr. Greger explică raționamentul din spatele lor în cartea sa „Cum să nu mori”. 	Use language-applicable quotation marks for book titles.	Based on the original translation to Romanian from „How not to Die book”. I've used italic for the feature's name, but I am not sure what kind of formatting is allowed in the platform. 
	apple_store_description.4	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Toate veniturile din cărțile, DVD-urile și discursurile sale sunt donate unor organizații de caritate.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org este un serviciu public necomercial, non-profit, bazat pe știință, furnizat de Dr. Greger, ce oferă zilnic, gratuit, scurte materiale video cu noutăți despre cele mai recente cercetări în domeniul nutriției. Platforma conține aproape o mie de videoclipuri despre fiecare aspect al alimentației sănătoase, noi videoclipuri și articole fiind publicate zilnic.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	La fel ca această aplicație, conținutul de pe site este 100% gratuit și fără reclame. 		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	Selectarea limbii din Setările aplicației necesită versiunea iOS 13 sau mai recentă.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	Descoperă noua funcționalitate din 12 Alimente Zilnice! Include 21 de Trucuri din noua carte, „Cum să nu ții o dietă”.	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
