key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	עיקבו אחר המזונות עליהם המליץ ד"ר גרגר בספרו רב המכר של ניו יורק טיימס, "איך לא למות", ועכשיו גם בספרו החדש "איך לא לעשות דיאטה".	Use language-applicable quotation marks for book titles.	
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	תכונת 21 הכוונונים, המבוססת על "איך לא לעשות דיאטה", מספקת גם מעקב משקל. מעקב המשקל יכול להשתמש ב- HealthKit כדי לזכור ערכים של משקל שהוזנו ידנית, או כדי לקרוא נתוני משקל ממאזניים עם אפשרות של HealthKit.	Use language-applicable quotation marks for book titles.	
	apple_store_description.2	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	במשך השנים של מחקר שנדרשו ליצירת יותר מאלף סרטונים מבוססי ראיות באתר האינטרנט שלו NutritionFacts.org, מייקל גרגר, MD, FACLM, הגיע לרשימה של מה שהוא מחשיב כמזונות החשובים ביותר שיש לכלול בתזונה בריאה יומיומית.		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	"התריסר היומי" של ד"ר גרגר מפרט את המזונות הבריאים ביותר, וכמה מנות מכל אחד מהם עלינו לנסות לכלול מדי יום. הוא מסביר את הנימוקים שלו בספרו "איך לא למות".	Use language-applicable quotation marks for book titles.	
	apple_store_description.4	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.	כל ההכנסות שלו מהספרים, מהתקליטורים ומההרצאות שלו נתרמות כולן לצדקה.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org הוא שירות ציבורי שניתן על ידי ד"ר גרגר, שירות שאינו מסחרי, ללא מטרות רווח, ומבוסס מדע. האתר מספק עדכונים יומיים בחינם על החידושים בחקר התזונה באמצעות סרטונים קצרים. יש בו כמעט אלף סרטונים על כל היבט של תזונה בריאה. סרטונים ומאמרים חדשים עולים מדי יום.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	כמו אפליקציה זו, הכל באתר אף הוא ללא פרסומות וללא תשלום.		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	בחירת שפה ברמת האפליקציה, דרך "הגדרות", דורשת iOS 13 ומעלה.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	בדקו את התכונות החדשות של "התריסר היומי"! כולל 21 כוונונים מהספר החדש "איך לא לעשות דיאטה".	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	עקבו אחר המזונות המומלצים על ידי NutritionFacts.org	Must be a maximum of 30 characters	
android_store_title	apple_store_title	Dr. Greger’s Daily Dozen	"התריסר היומי" של ד"ר גרגר	Must be a maximum of 30 characters	
	apple_store_whatsnew	Adds language support for language_name_here.	מוסיף תמיכה בשפה העברית.	Replace language_name_here with the translated language name for this translation.	
store_keywords	store_keywords	vegan, nutrition, food, vegetarian, health, healthy	טבעוני, תזונה, מזון, צמחוני, בריאות, בריא		
store_screen.0	store_screen.0	Eat. Track. Repeat. No calorie counting or macro tracking required.	לאכול. לעקוב. לחזור. אין צורך לספור קלוריות או לעקוב בדקדקנות.		
store_screen.1	store_screen.1	All for free!	הכל בחינם!		
store_screen.2	store_screen.2	Eat delicious meals that include Daily Dozen foods.	איכלו ארוחות טעימות שכוללות מזונות מ- "התריסר היומי".		
store_screen.3	store_screen.3	Track your daily servings in the app.	עיקבו אחר המנות היומיות שלכם באפליקציה.		
store_screen.4	store_screen.4	Repeat until healthy eating becomes second nature.	המשיכו עד שאכילה בריאה תהפוך לטבע שני.		
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen It’s your regular routine that determines your long-term health. Download today!	"התריסר היומי" של דוקטור גרגר. זו השגרה הקבועה שלכם שקובעת את בריאותכם לטווח הארוך. הורידו היום!		
android_store_description.0		Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book How Not Die—now including the 21 Tweaks from How Not to Diet—weight-loss accelerators to help maximize our natural fat-burning capabilities.	"התריסר היומי" של ד"ר גרגר מפרט את המאכלים הבריאים ביותר וכמה מנות מכל אחד מהם עלינו לנסות לכלול כל יום - מהספר שלו "איך לא למות" - ועכשיו כולל גם את 21 הכוונונים מ"איך לא לעשות דיאטה" - שמאיצים את הירידה במשקל בעזרה למקסם את יכולות שריפת השומן הטבעיות שלנו.	Use language-applicable quotation marks for book titles.	
android_store_description.1		All his proceeds from his books, DVDs, and speaking engagements is all donated to charity.	כל ההכנסות שלו מהספרים, התקליטורים וההרצאות שלו נתרמות לצדקה.		
android_store_description.2		NutritionFacts.org is a non-commercial, nonprofit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org הוא שירות ציבורי שניתן על ידי ד"ר גרגר. השירות אינו מסחרי, ללא מטרות רווח ומבוסס מדע , והוא מספק עדכונים יומיים בחינם על החידושים האחרונים במחקר התזונה באמצעות סרטונים קצרים. יש בו כמעט אלף סרטונים על כל היבט של תזונה בריאה.סרטונים ומאמרים חדשים עולים מדי יום. כמו אפליקציה זו, הכל באתר אף הוא ללא פרסומות וללא תשלום.		
android_store_whatsnew		Adds language support for language_name_here.	מוסיף תמיכה בשפה העברית.	Replace language_name_here with the translated language name for this translation.	
