key_droid	key_apple	base_value	lang_value	base_note	lang_note
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	⅓ cup tofu or tempeh	یک‌سومِ پیمانه توفو یا تِمپه		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or sprouted lentils	۱ پیمانه نخودسبز یا نخودفرنگی		
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	70 g hummus or bean dip	۷۰ گرم حُمُص یا دیپِ لوبیا		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	100 g cooked beans, split peas, or lentils	۱۰۰ گرم لوبیا، نخود، لپه، یا عدسِ پخته		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	80 g tofu or tempeh	۸۰ گرم توفو یا تِمپه		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	100 g fresh peas or sprouted lentils	۱۰۰ گرم نخودسبز یا نخودفرنگی		
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	70 g fresh or frozen	۷۰ گرم تازه یا منجمد		
food_info_serving_sizes_other_fruits_metric.1	dozeFruitsOther.Serving.metric.1	150 g cut-up fruit	۱۵۰ گرم میوۀ خردشده		
food_info_serving_sizes_cruciferous_vegetables_imperial.0	dozeVegetablesCruciferous.Serving.imperial.0	½ cup cooked leafy vegetables	یک‌دومِ پیمانه سبزیجاتِ برگدارِ پخته		
food_info_serving_sizes_cruciferous_vegetables_imperial.1	dozeVegetablesCruciferous.Serving.imperial.1	½ cup raw or cooked non-leafy vegetables	یک‌دومِ پیمانه سبزیجاتِ بی‌برگِ خام یا پخته		
food_info_serving_sizes_cruciferous_vegetables_imperial.2	dozeVegetablesCruciferous.Serving.imperial.2	1 cup raw leafy vegetables	۱ پیمانه سبزیجاتِ برگدارِ خام		
food_info_serving_sizes_cruciferous_vegetables_imperial.3	dozeVegetablesCruciferous.Serving.imperial.3	¼ cup broccoli sprouts	یک‌چهارمِ پیمانه جوانۀ کلم‌بروکلی		
food_info_serving_sizes_cruciferous_vegetables_metric.0	dozeVegetablesCruciferous.Serving.metric.0	90 g cooked leafy vegetables	۹۰ گرم سبزیجاتِ برگدارِ پخته		
food_info_serving_sizes_cruciferous_vegetables_metric.1	dozeVegetablesCruciferous.Serving.metric.1	90 g raw or cooked non-leafy vegetables	۹۰ گرم سبزیجاتِ بی‌برگِ خام یا پخته		
food_info_serving_sizes_cruciferous_vegetables_metric.2	dozeVegetablesCruciferous.Serving.metric.2	60 g raw leafy vegetables	۶۰ گرم سبزیجاتِ برگدارِ خام		
food_info_serving_sizes_cruciferous_vegetables_metric.3	dozeVegetablesCruciferous.Serving.metric.3	20 g broccoli sprouts	۲۰ گرم جوانۀ کلم‌بروکلی		
food_info_serving_sizes_other_vegetables_metric.1	dozeVegetablesOther.Serving.metric.1	90 g raw or cooked nonleafy vegetables	۹۰ گرم سبزیجاتِ بی‌برگِ خام یا پخته		
food_info_serving_sizes_other_vegetables_metric.2	dozeVegetablesOther.Serving.metric.2	120 ml vegetable juice	۱۲۰ میلی‌لیتر آبِ سبزیجات		
food_info_serving_sizes_other_vegetables_metric.3	dozeVegetablesOther.Serving.metric.3	10 g dried mushrooms	۱۰ گرم قارچِ خشک‌شده		
food_info_types_other_vegetables.7	dozeVegetablesOther.Variety.Text.7	Mushrooms (button, oyster, porcini, portobello, and shiitake)	قارچ (دکمه‌ای، صدفی، پورچینی، پُرتابِلّا، و شیتاکه)		
food_info_serving_sizes_whole_grains_imperial.0	dozeWholeGrains.Serving.imperial.0	½ cup cooked whole grains, whole-wheat pasta, or corn kernels	یک‌دومِ پیمانه غلاتِ کامل، پاستای غلاتِ کامل یا دانه‌های ذرتِ پخته		
food_info_serving_sizes_whole_grains_imperial.1	dozeWholeGrains.Serving.imperial.1	1 cup 100% whole grain cold cereal	۱ پیمانه غلاتِ صبحانۀ سرد از ۱۰۰% غلاتِ کامل		
food_info_serving_sizes_whole_grains_imperial.2	dozeWholeGrains.Serving.imperial.2	1 100% whole grain tortilla (or 2 smaller corn tortillas)	۱ تُرتیلا از ۱۰۰% غلاتِ کامل (یا ۲ ترتیلای ذرتِ کوچکتر)		
food_info_serving_sizes_whole_grains_imperial.3	dozeWholeGrains.Serving.imperial.3	1 slice of 100% whole grain bread	۱ برش نان از ۱۰۰% غلاتِ کامل		
food_info_serving_sizes_whole_grains_metric.0	dozeWholeGrains.Serving.metric.0	100 g cooked whole grains, whole-wheat pasta, or corn kernels	۱۰۰ گرم غلاتِ کامل، پاستای غلاتِ کامل یا دانه‌های ذرتِ پخته		
food_info_serving_sizes_whole_grains_metric.1	dozeWholeGrains.Serving.metric.1	50 g 100% whole grain cold cereal	۵۰ گرم غلاتِ صبحانۀ سرد از ۱۰۰% غلاتِ کامل		
food_info_serving_sizes_whole_grains_metric.2	dozeWholeGrains.Serving.metric.2	1 100% whole grain tortilla (or 2 smaller corn tortillas)	۱ تُرتیلا از ۱۰۰% غلاتِ کامل (یا ۲ ترتیلای ذرتِ کوچکتر)		
food_info_serving_sizes_whole_grains_metric.3	dozeWholeGrains.Serving.metric.3	1 slice of 100% whole grain bread	۱ برش نان از ۱۰۰% غلاتِ کامل		
