key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple.store.description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, "How Not to Die", and now his new book, "How Not to Diet".	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, "How Not to Die", and now his new book, "How Not to Diet".		
	apple.store.description.1	The 21 Tweaks feature, based on "How Not to Diet", also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	The 21 Tweaks feature, based on "How Not to Diet", also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.		
	apple.store.description.2	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.		
	apple.store.description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book "How Not to Die".	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book "How Not to Die".		
	apple.store.description.4	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.		
	apple.store.description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.		
	apple.store.description.6	Like this app, everything on the website is both free of ads and free of charge.	Like this app, everything on the website is both free of ads and free of charge.		
	apple.store.description.7	Application level language selection, via Settings, requires iOS 13 or newer.	Application level language selection, via Settings, requires iOS 13 or newer.		
	apple.store.promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, "How Not to Diet".	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, "How Not to Diet".		
	apple.store.subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
android.store.title	apple.store.title	Dr. Greger's Daily Dozen	Dr. Greger's Daily Dozen	Must be a maximum of 30 characters	
	apple.store.whatsnew	Adds language support for language_name_here.	Adds language support for language_name_here.	Replace language_name_here with the translated language name for this translation.	
store.keywords	store.keywords	vegan, nutrition, food, vegetarian, health, healthy	vegan, nutrition, food, vegetarian, health, healthy		
store.screen.0	store.screen.0	Eat. Track. Repeat. No calorie counting or macro tracking required.	Eat. Track. Repeat. No calorie counting or macro tracking required.		
store.screen.1	store.screen.1	All for free!	All for free!		
store.screen.2	store.screen.2	Eat delicious meals that include Daily Dozen foods.	Eat delicious meals that include Daily Dozen foods.		
store.screen.3	store.screen.3	Track your daily servings in the app.	Track your daily servings in the app.		
store.screen.4	store.screen.4	Repeat until healthy eating becomes second nature.	Repeat until healthy eating becomes second nature.		
store.screen.5	store.screen.5	Dr. Greger's Daily Dozen It's your regular routine that determines your long-term health. Download today!	Dr. Greger's Daily Dozen It's your regular routine that determines your long-term health. Download today!		
android.store.description.0		Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book "How Not Die"—now including the 21 Tweaks from "How Not to Diet"—weight-loss accelerators to help maximize our natural fat-burning capabilities.	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book "How Not Die"—now including the 21 Tweaks from "How Not to Diet"—weight-loss accelerators to help maximize our natural fat-burning capabilities.		
android.store.description.1		All his proceeds from his books, DVDs, and speaking engagements is all donated to charity.	All his proceeds from his books, DVDs, and speaking engagements is all donated to charity.		
android.store.description.2		NutritionFacts.org is a non-commercial, nonprofit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org is a non-commercial, nonprofit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.		
android.store.whatsnew		Adds language support for language_name_here.	Adds language support for language_name_here.	Replace language_name_here with the translated language name for this translation.	
