key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, "How Not to Die", and now his new book, "How Not to Diet".	Haz un seguimiento de los alimentos recomendados por el Dr. Greger en su libro superventas del NYT, "Comer para no morir", y su nuevo libro, "Comer para no engordar".	Use language-applicable quotation marks for book titles.	
	apple_store_description.1	The 21 Tweaks feature, based on "How Not to Diet", also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	En la opción de los 21 potenciadores, del libro "Comer para no engordar", también se proporciona la opción de hacer un seguimiento de tu peso. Esta herramienta puede utilizar HealthKit para guardar información introducida de manera manual sobre tu peso o para leer datos automáticos guardados en HealthKit.	Use language-applicable quotation marks for book titles.	
	apple_store_description.2	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Tras muchos años trabajando para crear miles de videos para NutritionFacts.org, el Dr. Michael Greger ha creado una lista de lo que considera los alimentos más importantes para tener buena salud.		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book "How Not to Die".	La Docena Diaria del Dr. Greger incluye los alimentos más sanos y cuántas raciones deberíamos consumir al día. Explica cómo creó esta lista en su libro "Comer para no morir".	Use language-applicable quotation marks for book titles.	
	apple_store_description.4	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Todas las ganancias de la venta de libros, DVD y ponencias se destina a la caridad.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org es un servicio público sin ánimo de lucro, no comercial y con base científica creado por el Dr. Greger, y proporciona novedades diarias sobre lo último en nutrición basada en evidencia en forma de videos cortos y artículos de blog. Tiene cientos de videos sobre todo tipo de temas nutricionales, y se suben videos y artículos nuevos a diario.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	Igual que esta aplicación, toda la información de la página web es gratuita y no contiene anuncios.		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	Para poder escoger el idioma dentro de la propia aplicación, se necesita iOS 13 o posterior.	
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, "How Not to Diet".	¡No te pierdas la nueva pestaña de La Docena Diaria de Dr. Greger! Ahora también incluye los 21 potenciadores del libro "Comer para no engordar".	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
android_store_title	apple_store_title	Dr. Greger’s Daily Dozen	La Docena Diaria de Dr. Greger	Must be a maximum of 30 characters	
	apple_store_whatsnew	Adds language support for language_name_here.	Ahora disponible completamente en español.	Replace language_name_here with the translated language name for this translation.	
store_keywords	store_keywords	vegan, nutrition, food, vegetarian, health, healthy	vegano, nutrición, comida, vegetariano, salud, sano		
store_screen.0	store_screen.0	Eat. Track. Repeat. No calorie counting or macro tracking required.	Come. Márcalo. Repite. Sin contar calorías ni macros.		
store_screen.1	store_screen.1	All for free!	¡Todo gratis!		
store_screen.2	store_screen.2	Eat delicious meals that include Daily Dozen foods.	Come platillos deliciosos que incluyan alimentos de la Docena Diaria.		
store_screen.3	store_screen.3	Track your daily servings in the app.	Haz un seguimiento de las porciones en la app.		
store_screen.4	store_screen.4	Repeat until healthy eating becomes second nature.	Repite hasta que comer sano sea lo más natural.		
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen It’s your regular routine that determines your long-term health. Download today!	La Docena Diaria de Dr. Greger Tu rutina habitual es la que determina tu salud a largo plazo. ¡Descárgala ya!		
android_store_description.0		Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book How Not Die—now including the 21 Tweaks from How Not to Diet—weight-loss accelerators to help maximize our natural fat-burning capabilities.	La Docena Diaria de Dr. Greger nos muestra qué alimentos debemos comer a diario y en qué cantidad, del libro "Comer para no morir", y ahora también los 21 potenciadores del libro "Comer para no engordar" para maximizar nuestras capacidades quemagrasas naturales.	
android_store_description.1		All his proceeds from his books, DVDs, and speaking engagements is all donated to charity.	Todas las ganancias de la venta de libros, DVD y ponencias se destina a la caridad.		
android_store_description.2		NutritionFacts.org is a non-commercial, nonprofit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org es un servicio público sin ánimo de lucro, no comercial y con base científica creado por el Dr. Greger, y proporciona novedades diarias sobre lo último en nutrición basada en evidencia en forma de videos cortos y artículos de blog. Tiene cientos de videos sobre todo tipo de temas nutricionales, y se suben videos y artículos nuevos a diario. Igual que esta aplicación, toda la información de la página web es gratuita y no contiene anuncios.		
android_store_whatsnew		Adds language support for language_name_here.	Ahora disponible completamente en español.	Replace language_name_here with the translated language name for this translation.	
