key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	Sledujte potraviny odporúčané Dr. Gregerom v bestselleri „Ako nezomrieť“ vydanom v New York Times a teraz v jeho novej knihe „Ako nedietovať“.	Use language-applicable quotation marks for book titles.	
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	Funkcia 21 Vylepšení, ktorá vychádza z knihy „Ako nedietovať“, tiež poskytuje sledovanie hmotnosti; buď prostredníctvom aplikácie HealthKit na uloženie ručne zadaných hodnôt, alebo načítaním údajov o hmotnosti z váh s podporou HealthKit.	Use language-applicable quotation marks for book titles.	
	apple_store_description.2	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Po rokoch výskumu potrebných na vytvorenie viac ako tisíc videí, založených na dôkazoch a uverejnených na webových stránkach NutritionFacts.org, dospel Michael Greger, MD, FACLM, k zoznamu toho, čo považuje za najdôležitejšie potraviny, ktoré treba zahrnúť do každodennej zdravej stravy.		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	Denná Dvanástka Dr. Gregera podrobne opisuje najzdravšie potraviny a koľko porcií každej z nich by sme mali konzumovať každý deň. Svoje zdôvodnenie vysvetľuje vo svojej knihe „Ako nezomrieť“.	Use language-applicable quotation marks for book titles.	
	apple_store_description.4	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Všetky výnosy z jeho kníh, DVD a prezentácií sú venované na charitatívne účely.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org je nekomerčná a nezisková verejná služba poskytovaná Dr. Gregerom. Je založená na vedeckých výskumoch a poskytuje bezplatné denné aktualizácie o najnovšom výskume výživy prostredníctvom krátkych videí. Obsahuje takmer tisíc videí venovaných každému aspektu zdravej výživy. Každý deň sú nahrávané nové videá a články.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	Táto aplikácia, aj všetko ostané na webových stránkach, je bez reklám a zadarmo.		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	Výber jazyka v aplikácii prostredníctvom Nastavenia vyžaduje iOS 13 alebo novší.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	Pozrite sa na úplne novú funkciu Dennej Dvanástky! Obsahuje aj 21 Vylepšení z novej knihy „Ako nedietovať“.	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
android_store_title	apple_store_title	Dr. Greger’s Daily Dozen	Denná Dvanástka Dr. Gregera	Must be a maximum of 30 characters	
	apple_store_whatsnew	Adds language support for language_name_here.	Pridanie jazykovej podpory pre slovenčinu.	Replace language_name_here with the translated language name for this translation.	
store_keywords	store_keywords	vegan, nutrition, food, vegetarian, health, healthy	vegán, výživa, jedlo, vegetarián, zdravie, zdravý		
store_screen.0	store_screen.0	Eat. Track. Repeat. No calorie counting or macro tracking required.	Jedzte. Zaznamenávajte. Neprestávajte. Nemusíte počítať kalórie ani všetko sledovať.		
store_screen.1	store_screen.1	All for free!	Všetko je zadarmo!		
store_screen.2	store_screen.2	Eat delicious meals that include Daily Dozen foods.	Jedzte chutné jedlá, ktoré obsahujú Dennú Dvanástku.		
