key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Со тек на многу години истражување кои беа потребни за создавање на повеќе од илјада видеа базирани на докази на неговиот веб-сајт NutritionFacts.org, Мајкл Грегер, доктор по медицина, FACLM, состави листа на она што го смета за најважна храна што треба да се вклучи во здравата секојдневна исхрана.		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	Дневната дузина на д-р Грегер ги детализира најздравите намирници и колку порции од секоја треба да се обидеме да ги внесеме секој ден. Тој го објаснува својот пристап во својата книга „How Not To Die“.	Use language-applicable quotation marks for book titles.	Користете соодветни наводници за наслови на книги на македонски јазик.
	apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Сите негови приходи од книги, ДВД-а и говорнички ангажмани се донираат во добротворни цели.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org е некомерцијална, непрофитна, научно-базирана јавна услуга обезбедена од д-р Грегер, која обезбедува бесплатни дневни ажурирања за најновите истражувања во исхраната преку кратки видеа. Тој има речиси илјада видеа за секој аспект на здравата исхрана, со нови видеа и статии кои се поставуваат секој ден.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	Проверете ја новата функционалност на Дневната дузина! Вклучува 21 Подобрувања од новата книга „How Not To Diet“.	Use language-applicable quotation marks for book titles.	Користете соодветни наводници за наслови на книги на македонски јазик.
android_store_title	apple_store_title	Dr. Greger’s Daily Dozen	Дневна дузина на д-р Грегер	Must be a maximum of 30 characters	Мора да биде максимум 30 карактери
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	Дневна дузина на д-р Грегер. Вашата редовна рутина е таа што ја одредува вашето долгорочно здравје. Преземете денес!		
android_store_description.0		Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book “How Not Die”—now including the 21 Tweaks from “How Not to Diet”—weight-loss accelerators to help maximize our natural fat-burning capabilities.	Дневна дузина на д-р Грегер ги детализира најздравите намирници и колку порции од секоја треба да се обидеме да ги внесеме секој ден од неговата книга „How Not To Die“ — сега вклучувајќи ги и 21 Подобрувања од „How Not To Diet“ — забрзувачи на губење тежина за да помогнат во максимизирање на нашите природни способности за горење масти.	Use language-applicable quotation marks for book titles.	Користете соодветни наводници за наслови на книги на македонски јазик.
android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	Сите негови приходи од книги, ДВД-а и говорнички ангажмани се донираат во добротворни цели.		
android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org е некомерцијална, непрофитна, научно-базирана јавна услуга обезбедена од д-р Грегер, која обезбедува бесплатни дневни ажурирања за најновите истражувања во исхраната преку кратки видеа. Тој има речиси илјада видеа за секој аспект на здравата исхрана, со нови видеа и статии кои се поставуваат секој ден. Како и оваа апликација, сè на веб-страницата е бесплатно и без реклами.		
