key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	Следете ја храната што ја препорачува д-р Грегер во неговата книга бестселер на Њујорк Тајмс, „How not to die“, и во неговата нова книга, „How Not To Diet“.	Use language-applicable quotation marks for book titles.	Користете соодветни наводници за наслови на книги на македонски јазик.
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	Функцијата „21 Подобрувања“, базирана на „How Not To Diet“, исто така обезбедува следење на тежината. Следењето на тежината може да користи HealthKit за да зачува рачно внесени вредности на тежината или да чита податоци за тежината од ваги поврзани со HealthKit.	Use language-applicable quotation marks for book titles.	Користете соодветни наводници за наслови на книги на македонски јазик.
	apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Со тек на многу години истражување кои беа потребни за создавање на повеќе од илјада видеа базирани на докази на неговиот веб-сајт NutritionFacts.org, Мајкл Грегер, доктор по медицина, FACLM, состави листа на она што го смета за најважна храна што треба да се вклучи во здравата секојдневна исхрана.		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	Дневната дузина на д-р Грегер ги детализира најздравите намирници и колку порции од секоја треба да се обидеме да ги внесеме секој ден. Тој го објаснува својот пристап во својата книга „How Not To Die“.	Use language-applicable quotation marks for book titles.	Користете соодветни наводници за наслови на книги на македонски јазик.
	apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Сите негови приходи од книги, ДВД-а и говорнички ангажмани се донираат во добротворни цели.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org е некомерцијална, непрофитна, научно-базирана јавна услуга обезбедена од д-р Грегер, која обезбедува бесплатни дневни ажурирања за најновите истражувања во исхраната преку кратки видеа. Тој има речиси илјада видеа за секој аспект на здравата исхрана, со нови видеа и статии кои се поставуваат секој ден.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	Како и оваа апликација, сè на веб-страницата е бесплатно и без реклами.		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	Изборот на јазик на ниво на апликација, преку Поставки, бара iOS 13 или понова верзија.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	Проверете ја новата функционалност на Дневната дузина! Вклучува 21 Подобрувања од новата книга „How Not To Diet“.	Use language-applicable quotation marks for book titles.	Користете соодветни наводници за наслови на книги на македонски јазик.
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	Мора да биде максимум 30 карактери
android_store_title	apple_store_title	Dr. Greger’s Daily Dozen	Дневна дузина на д-р Грегер	Must be a maximum of 30 characters	Мора да биде максимум 30 карактери
	apple_store_whatsnew	Adds language support for language_name_here.	Додава поддршка за македонски јазик.	Replace language_name_here with the translated language name for this translation.	Заменете language_name_here со преведеното име на јазикот за овој превод.
android_store_whatsnew_analytics	apple_store_whatsnew_analytics	Adds anonymous opt-in analytics to support product improvement.	Додава анонимна аналитика со согласност за поддршка на подобрувањето на производот.	What's New Item	Што е ново
	apple_store_whatsnew_darkmode	Adds support for Dark Mode.	Додава поддршка за Темен режим.	What's New Item	Што е ново
	apple_store_whatsnew_export	Adds support to export history data.	Додава поддршка за извоз на историски податоци.	What's New Item	Што е ново
android_store_whatsnew_faq	apple_store_whatsnew_faq	Adds Frequently Asked Questions (FAQ)	Додава Често поставувани прашања (ЧПП)	What's New Item	Што е ново
	apple_store_whatsnew_import	Adds support to import history data.	Додава поддршка за увоз на историски податоци.	What's New Item	Што е ново
android_store_whatsnew_improvement	apple_store_whatsnew_improvement	General software quality improvements.	Општи подобрувања на квалитетот на софтверот.	What's New Item	Што е ново
store_keywords	store_keywords	vegan, nutrition, food, vegetarian, health, healthy	веган, исхрана, храна, вегетаријанец, здравје, здраво		
store_screen.0	store_screen.0	Eat. Track. Repeat. No calorie counting or macro tracking required.	Јадете. Следете. Повторувајте. Не е потребно броење калории или следење на макронутриенти.		
store_screen.1	store_screen.1	All for free!	Сè бесплатно!		
store_screen.2	store_screen.2	Eat delicious meals that include Daily Dozen foods.	Јадете вкусни оброци што вклучуваат храна од Дневната дузина.		
store_screen.3	store_screen.3	Track your daily servings in the app.	Следете ги вашите дневни порции во апликацијата.		
store_screen.4	store_screen.4	Repeat until healthy eating becomes second nature.	Повторувајте додека здравата исхрана не стане втора природа.		
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	Дневна дузина на д-р Грегер. Вашата редовна рутина е таа што ја одредува вашето долгорочно здравје. Преземете денес!		
android_store_description.0		Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book “How Not Die”—now including the 21 Tweaks from “How Not to Diet”—weight-loss accelerators to help maximize our natural fat-burning capabilities.	Дневна дузина на д-р Грегер ги детализира најздравите намирници и колку порции од секоја треба да се обидеме да ги внесеме секој ден од неговата книга „How Not To Die“ — сега вклучувајќи ги и 21 Подобрувања од „How Not To Diet“ — забрзувачи на губење тежина за да помогнат во максимизирање на нашите природни способности за горење масти.	Use language-applicable quotation marks for book titles.	Користете соодветни наводници за наслови на книги на македонски јазик.
android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	Сите негови приходи од книги, ДВД-а и говорнички ангажмани се донираат во добротворни цели.		
android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org е некомерцијална, непрофитна, научно-базирана јавна услуга обезбедена од д-р Грегер, која обезбедува бесплатни дневни ажурирања за најновите истражувања во исхраната преку кратки видеа. Тој има речиси илјада видеа за секој аспект на здравата исхрана, со нови видеа и статии кои се поставуваат секој ден. Како и оваа апликација, сè на веб-страницата е бесплатно и без реклами.		
android_store_whatsnew		Adds language support for language_name_here.	Додава поддршка за македонски јазик.	Replace language_name_here with the translated language name for this translation.	Заменете language_name_here со преведеното име на јазикот за овој превод.
