key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	Fes un seguiment dels aliments que recomana el Dr. Greger al seu llibre How Not to Die, líder de vendes del New York Times, i ara també al seu nou llibre, How Not to Diet.	Use language-applicable quotation marks for book titles.	
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	L'eina dels 21 Potenciadors, basada en How Not to Diet, també ofereix una opció de seguiment de pes. La opció de seguiment de pes pot utilitzar HealthKit per guardar manualment els valors del teu pes que entris o per llegir les dades de pes de HealthKit.	Use language-applicable quotation marks for book titles.	
	apple_store_description.2	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Durant tots els anys de recerca que han fet falta per crear els més de mil vídeos basats en evidència científica al web de NutritionFacts.org, Michael Greger, M.D, FACLM, ha arribat a fer una llista dels aliments que considera més importants per incloure en una allimentació diària saludable.		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	La Dotzena Diària del Dr. Greger detalla els aliments més saludables i indica quantes racions hauries de provar d'incloure a la teva dieta cada dia. Explica els seus raonaments al llibre How Not to Die.	Use language-applicable quotation marks for book titles.	
	apple_store_description.4	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Tots els beneficis dels seus llibres, DVDs i conferències es donen a la caritat.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org és un servei públic no comercial, sense ànim de lucre, basat en la ciència conduït pel Dr. Greger, oferint contingut diari gratuït sobre les últimes recerques en nutrició per mitjà de vídeos curts. Pots trobar-hi milers de vídeos sobre qualsevol aspecte de l'alimentació saludable, amb nous vídeos i articles publicats cada dia.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	Igual que aquesta aplicació, tot el contingut del web està lliure d'anuncis i és gratuït.		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	La selecció d'idioma, per mitjà de la configuració, requereix iOS 13 o superior.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	Descobreix la nova funcionalitat de la Daily Dozen! Inclou 21 Potenciadors del nou llibre, How Not to Diet.	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
android_store_title	apple_store_title	Dr. Greger’s Daily Dozen	La Dotzena Diària del Dr. Greger	Must be a maximum of 30 characters	
	apple_store_whatsnew	Adds language support for language_name_here.	Afegeix assistència en llengua catalana.	Replace language_name_here with the translated language name for this translation.	
store_keywords	store_keywords	vegan, nutrition, food, vegetarian, health, healthy	vegà, nutrició, menjar, vegetarià, salut, saludable		
store_screen.0	store_screen.0	Eat. Track. Repeat. No calorie counting or macro tracking required.	Menja. Marca caselles. Repeteix. No cal comptar calories ni fer un seguiment de macronutrients.		
store_screen.1	store_screen.1	All for free!	Tot gratuït!		
store_screen.2	store_screen.2	Eat delicious meals that include Daily Dozen foods.	Menja àpats deliciosos que incloguin aliments de la Dotzena Diària.		
store_screen.3	store_screen.3	Track your daily servings in the app.	Fes un seguiment de les teves racions diàries a l'app.		
store_screen.4	store_screen.4	Repeat until healthy eating becomes second nature.	Repeteix fins que els hàbits alimentaris es converteixin en una segona naturalesa.		
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen It’s your regular routine that determines your long-term health. Download today!	La Dotzena Diària del Dr. Greger és la teva rutina regular que determina la teva salut a llarg termini. Descarrega-te-la avui!		
android_store_description.0		Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book “How Not Die”—now including the 21 Tweaks from “How Not to Diet”—weight-loss accelerators to help maximize our natural fat-burning capabilities.	La Dotzena Diària del Dr. Greger detalla els aliments més saludables i indica quantes racions hauries de provar d'incloure a la teva dieta cada dia. Explica els seus raonaments al llibre How Not to Die. Ara també inclou els 21 Potenciadors de How Not to Diet, els acceleradors per perdre pes que t'ajudaran a treure el màxim partit de les teves capacitats natural per cremar greixos.	Use language-applicable quotation marks for book titles.	
android_store_description.1		All his proceeds from his books, DVDs, and speaking engagements is all donated to charity.	Tots els beneficis dels seus llibres, DVDs i conferències es donen a la caritat.		
android_store_description.2		NutritionFacts.org is a non-commercial, nonprofit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org és un servei públic no comercial, sense ànim de lucre, basat en la ciència conduït pel Dr. Greger, oferint contingut diari gratuït sobre les últimes recerques en nutrició per mitjà de vídeos curts. Pots trobar-hi milers de vídeos sobre qualsevol aspecte de l'alimentació saludable, amb nous vídeos i articles publicats cada dia. Igual que aquesta aplicació, tot el contingut del web està lliure d'anuncis i és gratuït.		
android_store_whatsnew		Adds language support for language_name_here.	Afegeix assistència en llengua catalana.	Replace language_name_here with the translated language name for this translation.	
