key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, “How Not to Die”, and now his new book, “How Not to Diet”.	غذاهایی که دکتر گرِگِر در کتاب پرفروش خود از نگاه نیویورک تایمز با نام «چگونه نمیریم»، و حالا در کتاب جدیدش «چگونه رژیم نگیریم» توصیه کرده را ثبت و نظارت کنید.	Use language-applicable quotation marks for book titles.	
	apple_store_description.1	The 21 Tweaks feature, based on “How Not to Diet”, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	ویژگی «۲۱ ترفند»، براساس کتاب «چگونه رژیم نگیریم»، همچنین دارای امکانی برای ردگیری وزن است. این امکان می‌تواند از HealthKit هم برای ذخیره وزن‌هایی که به‌صورت دستی واردشده استفاده کند و هم مطابق مقیاس‌های فعال در HealthKit برای خواندن اطلاعات وزن‌های پیشین بهره بگیرد.	Use language-applicable quotation marks for book titles.	
	apple_store_description.2	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	مایکل گرِگِر، پزشک و عضو کالجِ آمریکاییِ پزشکیِ مبتنی‌بر سبک زندگی، طی سال‌ها پژوهش که لازمه تولید بیش از یک هزار ویدئوی مستند بر روی وبسایتش NutritionFacts.org بود، به فهرستی دست‌ یافته است که از نظر او حاوی مهمترین غذاها در رژیم غذایی سالم روزانه است.		
	apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	اپ «دوازده‌تای روزانه دکتر گرِگِر» سالم‌ترین مواد غذایی و تعداد سهم‌هایی که باید روزانه از هرکدام مصرف کنید را به‌طور دقیق نشان می‌دهد. دکتر گرِگِر منطق خود را در این رابطه درکتابش «چگونه نمیریم» توضیح داده است.	Use language-applicable quotation marks for book titles.	
	apple_store_description.4	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.	تمام درآمد حاصل از کتاب‌ها، دی‌وی‌دی‌ها، و سخنرانی‌های ایشان به امور خیریه اهدا می‌شوند.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	وبسایت NutritionFacts.org یک خدمت عمومی غیرتجاری، غیرانتفاعی و مبتنی‌بر علم است که از طرف دکتر گرِگِر ارائه شده و هرروزه ویدئو‌های کوتاه رایگان درباره جدیدترین تحقیقات انجام‌شده در حوزه تغذیه منتشر می‌کند. ایشان نزدیک به هزار ویدئو در رابطه با تمام جنبه‌های تغذیه سالم دارد، همراه با ویدئوها و مقالات تازه‌ای که هر روز بارگذاری می‌شوند.		
	apple_store_description.6	Like this app, everything on the website is both free of ads and free of charge.	همانند این اپ، هرآنچه که در وبسایت ارائه شده نیز رایگان و خالی از تبلیغات است.		
	apple_store_description.7	Application level language selection, via Settings, requires iOS 13 or newer.	انتخاب زبان این اپ، از طریق Settings، نیازمند iOS 13 یا جدیدتر است.		
	apple_store_promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, “How Not to Diet”.	قابلیت کاملا جدید اپ «دوازده‌تای روزانه» را ببینید! این قابلیت، حاوی ۲۱ ترفند از کتاب جدید «چگونه رژیم نگیریم» است.	Use language-applicable quotation marks for book titles.	
	apple_store_subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
