key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple.store.description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, How Not to Die, and now his new book, How Not to Diet.	עקבו אחר המאכלים עליהם המליץ ד"ר גרגר בספרו רב המכר בניו יורק טיימס, "כיצד לא למות" ועכשיו ספרו החדש,"כיצד לא לרזות"		
	apple.store.description.1	The 21 Tweaks feature, based on How Not to Diet, also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	תכונת 21 הכוונונים, המבוססת על "איך לא לרזות", מספקת גם מעקב משקל. מעקב המשקל יכול להשתמש ב- HealthKit לשמירה של ערכי משקל שהוזנו ידנית או כדי לקרוא נתוני משקל ממאזניים מופעלים של HealthKit.		
	apple.store.description.2	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	בשנות המחקר הנדרשות ליצירת יותר מאלף סרטונים מבוססי ראיות באתר האינטרנט שלו NutritionFacts.org, מייקל גרגר, MD, FACLM, הגיע לרשימה של מה שהוא מחשיב המזונות החשובים ביותר שיש לכלול בתזונה בריאה יומיומית.		
	apple.store.description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book How Not to Die.	התריסר היומי של ד"ר גרגר מפרט את המזונות הבריאים ביותר וכמה מנות מכל אחד עלינו לנסות לסמן מדי יום. הוא מסביר את ההגיון שלו בספרו "איך לא למות".		
	apple.store.description.4	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.	כל ההכנסות שלו מספריו, מדי.וי.די ומהרצאותיו נתרמים כולם לצדקה.		
	apple.store.description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org הוא שירות ציבורי לא מסחרי, ללא מטרות רווח, המבוסס על מדע המסופק על ידי ד"ר גרגר, המספק עדכונים יומיים בחינם על העדכונים האחרונים בחקר התזונה באמצעות סרטונים קצרים. יש לו כמעט אלף סרטונים על כל היבט של תזונה בריאה, עם סרטונים ומאמרים חדשים שעולים מדי יום.		
	apple.store.description.6	Like this app, everything on the website is both free of ads and free of charge.	כמו האפליקציה הזו, הכל באתר אף הוא ללא פרסומות וללא תשלום.		
	apple.store.description.7	Application level language selection, via Settings, requires iOS 13 or newer.	בחירת שפה ברמת האפליקציה, דרך הגדרות, דורשת iOS 13 ומעלה.		
	apple.store.promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, How Not to Diet.	בדקו את הפונקציונליות החדשה של התריסר היומי! כולל 21 כוונונים מהספר החדש "איך לא לרזות".		
	apple.store.subtitle	Track the foods recommended by NutritionFacts.org	עקבו אחר המזונות המומלצים על ידי NutritionFacts.org		
